,Location_site,Sample:regular,Date,Time,Nearest_USGS,Streamflow_cfs,Sample:wet,Weather,Air_temp_C,Water_level,Water_odor,Water_color,Observed_use,Water_temp_C,Conductivity_Scm,Comments,Bacteria_MPNper100ml,Nitrate_mgperL,latitude,longitude,accuracy,UTM_Northing,UTM_Easting,UTM_Zone,Water_class,Safe_uses
67,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2019-05-15,10:39:00,Weekeepeemee,101,['Wet'],['Sunny'],9999,['High'],['None'],['Clear'],['Fishing'],9.2,9999,,31.0,0.13,41.557654,-73.215458,4,4602202,648813,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
39,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Duplicate'],2019-05-15,11:35:00,Pomperaug,245,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Other'],12.8,99999,,68.0,0.33,41.468681,-73.258058,4,4592251,645460,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
47,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2019-05-15,11:43:00,Nonnewaug,63,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],10.2,99999,,184.0,0.39,41.575249,-73.179866,4,4604218,651740,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
5,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Duplicate'],2019-05-15,11:35:26,Pomperaug,245,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Other'],12.8,99999,,52.0,0.33,41.468681,-73.258058,4,4592251,645460,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
55,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2019-05-15,11:20:00,Weekeepeemee,101,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Silty'],['Fishing'],11.3,99999,Turbidity is noticeable but slight and the bottom of the channel is visible,15.0,0.14,41.638913,-73.224928,4,4611208,647838,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
71,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2019-05-15,10:30:00,Nonnewaug,63,['Wet'],['Sunny'],9999,['High'],['None'],['Clear'],['Fishing'],9.6,9999,,345.0,0.41,41.557827,-73.212074,4,4602227,649095,18T,1,"('Boating', 'Fishing')"
51,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2019-05-15,11:35:00,Nonnewaug,63,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],10.7,99999,,225.0,0.38,41.599226,-73.173438,4,4606891,652220,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
59,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2019-05-15,11:05:00,Weekeepeemee,101,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],9.8,99999,,34.0,0.13,41.604553,-73.225085,4,4607393,647903,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
63,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2019-05-15,10:55:00,Weekeepeemee,101,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],9.3,9999,,91.0,0.14,41.585621,-73.230662,4,4605281,647482,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
35,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2019-05-16,12:10:35,Pomperaug,245,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],13.1,99999,slight haze but the bottom of the channel is visible,64.0,0.34,41.468018,-73.232179,4,4592221,647622,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
31,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2019-05-16,12:30:33,Pomperaug,245,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],12.8,99999,slight haze but the bottom of the channel is visible,113.0,0.38,41.481726,-73.22446,4,4593757,648236,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
27,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2019-05-16,13:05:07,Pomperaug,245,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],13.1,99999,slight haze but the bottom of the channel is visible,48.0,0.30,41.501085,-73.219115,4,4595915,648638,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
24,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2019-05-16,13:20:29,Pomperaug,245,['Wet'],['Sun with some clouds'],12.2,['High'],['None'],['Clear'],['Fishing'],12.7,99999,,53.0,0.31,41.52194,-73.206194,4,4598253,649668,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
